track_id,song,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,party
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,0.0167,0.77,0.724,0.0107,0.353,-5.484,0.0495,0.898,121.975,1
21HtICjxfQGi3bS9XH7dOl,Do Si Do (feat. Blanco Brown),0.00215,0.883,0.623,0.122,0.0763,-8.629,0.0982,0.335,117.92,1
6AomCkEOQUODCYzQwH4SWC,Floor Seats,0.069,0.706,0.733,0.154,0.823,-4.942,0.097,0.683,135.996,1
7vBqDxT6CcJhnOCRfM9Wvi,Say Yeah,0.003,0.828,0.452,0.198,0.0884,-6.038,0.0458,0.171,100.029,1
65lskbT8WoXr7GT3YVjRqW,Just Keep Goin',0.403,0.775,0.412,0,0.148,-11.789,0.141,0.658,139.967,1
6xRNqXP3baPR9buXr8vreM,3AM,0.108,0.569,0.657,0,0.108,-6.639,0.0425,0.111,73.008,1
0lSZh5W0wDeurkGzLYY6hf,Turks (feat. Travis Scott),0.0827,0.893,0.618,0,0.542,-4.425,0.112,0.389,119.099,1
0hgOPiIG1N5EveHIU5aR1j,Bammer (feat. Mustard),0.0669,0.772,0.741,0,0.327,-4.395,0.0306,0.257,102.057,1
2ca5xMtPpmULDE6aG3VuEn,Tempo,0.251,0.685,0.46,6.58e-06,0.0949,-9.007,0.431,0.771,102.193,1
6gxKUmycQX7uyMwJcweFjp,We Paid (feat. 42 Dugg),0.135,0.926,0.542,0,0.0877,-5.064,0.293,0.564,135.14,1
6MF4tRr5lU8qok8IKaFOBE,Under The Sun (with J. Cole & Lute feat. DaBaby),0.511,0.691,0.64,0,0.409,-6.441,0.369,0.163,138.672,1
2hyF1YWdX8yxExvRelT9nB,Jet Lag,0.0085,0.85,0.803,2.41e-05,0.104,-3.297,0.292,0.433,169.986,1
017PF4Q3l4DBUiWoXk4OWT,Break My Heart,0.167,0.73,0.729,1.39e-06,0.349,-3.434,0.0886,0.467,113.012,1
31k41EAntOsjbRBcAASfiL,Malibu,0.0249,0.629,0.828,0.000221,0.206,-4.766,0.173,0.512,120.018,1
11VApNQCWLJdzxWrlmwzUa,Say So (feat. Nicki Minaj),0.119,0.856,0.641,4.97e-06,0.427,-4.64,0.204,0.745,111.004,1
0fIOacVe000P5pNhaKQlQw,Love Me Like You,0.208,0.785,0.674,0,0.285,-3.936,0.043,0.848,106.057,1
2qG5sZ7Si6sdK74qLxedYM,Con Altura,0.39,0.882,0.689,0.00325,0.0501,-4.027,0.124,0.746,97.963,1
7vJS1DPc3FzBtqBs8n3mW5,Bad To You (with Normani & Nicki Minaj),0.065,0.727,0.583,0,0.106,-7.385,0.0718,0.629,147.983,1
5fYN8kPYyAWWJUBX57vmXb,Details (feat. Boy Matthews),0.0259,0.751,0.714,0.000504,0.0508,-6.502,0.0379,0.529,120.007,1
5JeBHduTGxXxytZFXBcIlB,Turn off the Lights - Cages Remix,0.00324,0.653,0.839,0.00294,0.476,-6.677,0.0581,0.334,125.004,1
4SlkCNvosh6H75Cx46Y4K0,Falling,0.0178,0.518,0.886,4.65e-06,0.253,-4.184,0.056,0.263,137.917,1
18kYsXi1YDzYfbDhUCLGJ3,Bad Habit,0.00156,0.581,0.888,0.000112,0.0988,-6.369,0.0382,0.291,124.96,1
0xWNXLoJsTjVNemAept9rl,Holy Water,0.0653,0.586,0.734,0.000571,0.398,-4.558,0.0407,0.401,125.851,1
1EBgGKDZq8oirx5oq46fPW,ONCE MORE,0.115,0.657,0.765,8.99e-05,0.323,-5.928,0.108,0.501,161.958,1
2JaumeoKa4ydE7vTxy8KWO,Tequila - Jax Jones & Martin Solveig Present Europa,0.00144,0.776,0.681,0.0166,0.111,-7.111,0.095,0.871,124.002,1
1T4U8Q2DRfs6OUg8DEsRZf,Bad,0.406,0.791,0.738,0.00826,0.159,-5.197,0.0732,0.666,123.927,1
6iAbvkrFdaUM3T3JcXRG7G,Give Me Strength [edit],0.0334,0.633,0.918,0.867,0.364,-8.208,0.0454,0.786,129.99,1
7xAi7yZ9uuKSac9H87Cc8i,Get on Your Knees,0.476,0.771,0.81,0,0.292,-6.113,0.176,0.799,119.935,1
3TjE3A8tLih7KBwKJ03Htl,New Vibe Who Dis (feat. Little League),0.16,0.699,0.933,5.62e-06,0.196,-3.504,0.175,0.646,123.91,1
62g4tZ0Co9HWGpxXG8mG5F,Better Off Without You (Joel Corry Remix feat. Shift K3Y),0.00323,0.655,0.803,0.199,0.238,-5.499,0.0404,0.564,124.05,1
6gi6y1xwmVszDWkUqab1qw,OUT WEST (feat. Young Thug),0.0104,0.802,0.591,0,0.196,-4.895,0.225,0.309,139.864,1
3NnINnjKVVs03xat0qLQFx,GROUP B,0.0996,0.544,0.718,0,0.2,-8.286,0.24,0.361,80.095,1
4RsTfAuTiUyL7GKGPiNC0w,Crunk Ain't Dead,0.0397,0.767,0.931,0,0.182,-1.472,0.269,0.474,145.938,1
3wdnX9UwfyXkNq0FJVhQQD,Snake,0.188,0.943,0.443,0.00225,0.282,-10.098,0.138,0.621,109.908,1
0lB24x4SNbi8lLhUAsdoMO,BERETTA (feat. Wifisfuneral),0.164,0.807,0.564,0,0.0804,-7.938,0.319,0.225,96.004,1
0IpnZchq8ek2A6pGEP2Qb1,Bean (Kobe) [feat. Chief Keef],0.00813,0.719,0.579,0,0.38,-6.425,0.246,0.311,75.474,1
6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,0.0125,0.794,0.793,0,0.0952,-4.521,0.0842,0.677,123.941,1
6KgBpzTuTRPebChN0VTyzV,Good as Hell,0.256,0.682,0.919,0,0.442,-3.18,0.0875,0.535,95.982,1
4zCEJUxsW73s2sIIoM4SLC,Mistakes,0.183,0.814,0.811,0.000316,0.271,-3.523,0.0597,0.513,122.041,1
2b8fOow8UzyDFAE27YhOZM,Memories,0.837,0.764,0.32,0,0.0822,-7.209,0.0546,0.575,91.019,1
6ICUVcbxCSgcFSyigiFlbA,Physical - Alok Remix,0.0103,0.679,0.717,0.000151,0.169,-6.262,0.033,0.196,125.97,1
7ydjUPZFQVYZ54NLmoISfG,How To Be Lonely,0.0324,0.532,0.718,0,0.195,-3.182,0.0514,0.505,81.74,1
364dI1bYnvamSnBJ8JcNzN,Intentions,0.317,0.811,0.553,0,0.105,-6.644,0.0552,0.86,148.014,1
349Wc5mDu52d4Uv8Eg9WZv,Indigo,0.0958,0.819,0.664,1.75e-06,0.263,-5.612,0.0828,0.71,144.988,1
7f5trao56t7sB7f14QDTmp,Juicy,0.102,0.786,0.652,0,0.0697,-2.607,0.0669,0.483,170.031,1
034KyQEk7IhbLtniVhBErj,17,0.169,0.558,0.364,0.000101,0.109,-8.663,0.0501,0.252,129.174,1
3CS5zwqrjggxlRD0QGJAva,the other girl (with Halsey),0.419,0.583,0.769,0,0.0988,-4.859,0.159,0.785,179.869,1
463PQggkmk5tTw8ug0ahOX,The Other Side (from Trolls World Tour),0.00277,0.761,0.607,0,0.132,-6.274,0.0964,0.71,105.979,1
4sEckJy5b3BqbI6gt0ARo4,Come Back To Me,0.224,0.775,0.692,0,0.185,-4.881,0.0571,0.724,114.953,1
4lTLA56cAilcRXpZWCWyS2,Feel Up,0.0326,0.815,0.485,0,0.156,-5.188,0.0545,0.381,98.076,1
2OZhWugxgM4wvjI3MXRhJg,"Heavenly Father (feat. Noah Kahan) - Recorded at Electric Lady Studios, NYC",0.0691,0.53,0.706,2.12e-06,0.11,-7.119,0.0686,0.322,149.977,1
0lchLc0vSyRRqKSPIkFtJI,Superlove (feat. Oh Wonder),0.203,0.578,0.491,0.000378,0.182,-8.544,0.21,0.64,98.273,1
2b1yiFEFZYuvlBnClvNJHP,Taco Tuesday,0.000515,0.945,0.65,0,0.135,-7.071,0.154,0.804,129.007,1
5v6eZ0jEqgmffx0qGha0yr,Nightcrawler,0.00369,0.744,0.699,0.000234,0.402,-6.63,0.0517,0.508,117.99,1
6Ozh9Ok6h4Oi1wUSLtBseN,BOP,0.189,0.769,0.787,0,0.129,-3.909,0.367,0.836,126.77,1
5LTdRSQOg63EazLbKZbWn2,My Type (feat. City Girls & Jhené Aiko) - Remix,0.00782,0.925,0.904,0,0.109,-3.362,0.201,0.758,105.02,1
22WV03i2lBbwNVCE1g671p,151 Rum,0.155,0.756,0.867,0.00285,0.33,-3.626,0.162,0.666,129.983,1
0uqJQ1k1N63nl4tAYW8t2A,Bank,0.0889,0.903,0.539,0,0.305,-8.565,0.367,0.758,139.926,1
30z4LVkScpeNhwHFIB8Ewa,I Love,0.274,0.671,0.565,6.51e-05,0.37,-7.401,0.16,0.561,150.014,1
55CHeLEfn5iJ0IIkgaa4si,Savage,0.0252,0.843,0.741,0,0.096,-5.609,0.334,0.68,168.983,1
5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),0.0706,0.676,0.609,0,0.152,-5.831,0.481,0.508,142.037,1
0PXp9QxBfSKGGpWUNaws2X,Drama (feat. Drake),0.157,0.709,0.362,0,0.109,-9.814,0.055,0.113,122.043,1
568OIKgeHyGRD3uWR44JbO,Racks 2 Skinny,0.00839,0.814,0.584,0,0.0646,-5.425,0.0819,0.405,141.016,1
3VN7XvP708u6V9U0CxOlzi,Birthday (feat. Monty),0.18,0.816,0.621,0,0.085,-6.352,0.181,0.403,97.015,1
4s1HdR4GZb9OQtfTq1avcq,Creep On Me (feat. French Montana & DJ Snake),0.347,0.449,0.597,1.03e-05,0.197,-4.401,0.14,0.505,134.598,1
1GqluCmHkW69FPpe8OlnB5,Bad Vibe (feat. A Boogie Wit da Hoodie & 2 Chainz),0.13,0.833,0.614,0,0.0858,-4.842,0.17,0.389,100.03,1
55CHeLEfn5iJ0IIkgaa4si,Savage,0.0252,0.843,0.741,0,0.096,-5.609,0.334,0.68,168.983,1
5hyq3LBlCfjRQAFkdQwe8o,Vroom Vroom,0.122,0.836,0.684,0,0.0854,-5.818,0.241,0.514,151.007,1
1GIYmwtBbPSHrqcSaukZck,Heat (feat. Gunna),0.0607,0.62,0.613,0,0.117,-5.83,0.0795,0.483,82.43,1
3rBec901wnvokK97xjoKlH,I Don't Want Her (feat. Problem),0.018,0.629,0.695,0,0.097,-5.131,0.0328,0.638,93.993,1
7uKcScNXuO3MWw6LowBjW1,"One, Two Step (feat. Missy Elliott)",0.042,0.944,0.511,0.00107,0.0379,-10.96,0.161,0.842,113.046,1
6Poyf51k7W3NKnsGwAI90B,Barbie Dreams,0.313,0.855,0.787,0,0.194,-4.134,0.334,0.702,88.003,1
0suLmBuEbatdochI4tHduq,FEELING GUD,0.0145,0.484,0.94,0.000323,0.266,-3.682,0.257,0.334,173.741,1
